[596, 421]
[section-title, [57.0, 42.0, 115.0, 30.0], 33rSxIoiv8, 6533315]
[paragraph, [36.0, 86.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 104.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 122.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 140.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 158.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 176.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 194.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 212.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 230.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 248.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 266.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [36.0, 284.0, 143.0, 18.0], shoonya_0sUNZSG0UMFVVQ, 6533315]
[paragraph, [238.0, 253.0, 133.0, 18.0], shoonya_4sGXBHP6SLJ3L6, 6533315]
[paragraph, [238.0, 271.0, 133.0, 18.0], shoonya_4sGXBHP6SLJ3L6, 6533315]
[paragraph, [238.0, 299.0, 134.0, 18.0], rJ89a86xcd, 6533315]
[paragraph, [238.0, 317.0, 134.0, 18.0], rJ89a86xcd, 6533315]
[paragraph, [236.0, 341.0, 130.0, 18.0], m1Cm4SEhIJ, 6533315]
[paragraph, [236.0, 359.0, 130.0, 18.0], m1Cm4SEhIJ, 6533315]
[paragraph, [240.0, 381.0, 116.0, 18.0], FIFZR0cPWp, 6533315]
[paragraph, [240.0, 399.0, 116.0, 18.0], FIFZR0cPWp, 6533315]
[paragraph, [237.0, 428.0, 127.0, 18.0], 0sCltrvYzO, 6533315]
[paragraph, [237.0, 446.0, 127.0, 18.0], 0sCltrvYzO, 6533315]
[paragraph, [242.0, 472.0, 126.0, 18.0], iggdOh4EBY, 6533315]
[paragraph, [242.0, 490.0, 126.0, 18.0], iggdOh4EBY, 6533315]
