[1275, 750]
[folio, [226.0, 86.0, 289.0, 18.0], _8_ALCbzpp, 5767110]
[folio, [226.0, 104.0, 289.0, 18.0], _8_ALCbzpp, 5767110]
[paragraph, [94.0, 159.0, 481.0, 18.0], 0srHuQKQZv, 5767110]
[paragraph, [94.0, 177.0, 481.0, 18.0], 0srHuQKQZv, 5767110]
[paragraph, [94.0, 195.0, 481.0, 18.0], 0srHuQKQZv, 5767110]
[paragraph, [94.0, 213.0, 481.0, 18.0], 0srHuQKQZv, 5767110]
[paragraph, [474.0, 240.0, 207.0, 18.0], shoonya_0sLBUXPOK2K66S, 5767110]
[paragraph, [474.0, 258.0, 207.0, 18.0], shoonya_0sLBUXPOK2K66S, 5767110]
[section-title, [135.0, 297.0, 477.0, 30.0], t4kWZb4IIU, 5767110]
[section-title, [135.0, 327.0, 477.0, 30.0], t4kWZb4IIU, 5767110]
[section-title, [135.0, 357.0, 477.0, 30.0], t4kWZb4IIU, 5767110]
[paragraph, [53.0, 412.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 430.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 448.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 466.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 484.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 502.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 520.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 538.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 556.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 574.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 592.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 610.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 628.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 646.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 664.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 682.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 700.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 718.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 736.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 754.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 772.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 790.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 808.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 826.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 844.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 862.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 880.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 898.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 916.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 934.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 952.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 970.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 988.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1006.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1024.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1042.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1060.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1078.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1096.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1114.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1132.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1150.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
[paragraph, [53.0, 1168.0, 638.0, 18.0], shoonya_1sAXKGO9TSOD7Q, 5767110]
