[2200, 1700]
[paragraph, [249.0, 262.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 298.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 334.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 370.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 406.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 442.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 478.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 514.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 550.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 586.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 622.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 658.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 694.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 730.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 766.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 802.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 838.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [249.0, 874.0, 1017.0, 36.0], shoonya_0sSXM1RH47ZDYY, 5652677]
[paragraph, [250.0, 938.0, 1026.0, 36.0], shoonya_3sCOL53JDXIVGF, 5652677]
[paragraph, [250.0, 974.0, 1026.0, 36.0], shoonya_3sCOL53JDXIVGF, 5652677]
[paragraph, [250.0, 1010.0, 1026.0, 36.0], shoonya_3sCOL53JDXIVGF, 5652677]
[paragraph, [256.0, 1056.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1092.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1128.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1164.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1200.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1236.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1272.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1308.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1344.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1380.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1416.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [256.0, 1452.0, 1028.0, 36.0], shoonya_1sO1ARAY8KKL5L, 5652677]
[paragraph, [345.0, 1495.0, 932.0, 36.0], shoonya_2sYUCIR1XCY5IE, 5652677]
[paragraph, [342.0, 1556.0, 792.0, 36.0], 4yuossy4H7, 5652677]
[paragraph, [342.0, 1592.0, 792.0, 36.0], 4yuossy4H7, 5652677]
[paragraph, [240.0, 1627.0, 1045.0, 36.0], B_uLrJRcN9, 5652677]
[paragraph, [240.0, 1663.0, 1045.0, 36.0], B_uLrJRcN9, 5652677]
[paragraph, [240.0, 1699.0, 1045.0, 36.0], B_uLrJRcN9, 5652677]
[paragraph, [253.0, 1748.0, 1016.0, 36.0], Pj2KmFXyI2, 5652677]
[paragraph, [253.0, 1784.0, 1016.0, 36.0], Pj2KmFXyI2, 5652677]
[paragraph, [253.0, 1820.0, 1016.0, 36.0], Pj2KmFXyI2, 5652677]
[folio, [1082.0, 1918.0, 121.0, 36.0], zS7UJFVXjy, 5652677]
