[810, 612]
[folio, [221.0, 45.0, 169.0, 18.0], shoonya_1sQPQITJ3ZL109, 6460701]
[paragraph, [98.0, 90.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 108.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 126.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 144.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 162.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 180.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 198.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 216.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 234.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 252.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 270.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 288.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 306.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 324.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 342.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 360.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 378.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 396.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 414.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 432.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 450.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 468.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 486.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 504.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 522.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 540.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 558.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 576.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 594.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 612.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 630.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 648.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 666.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 684.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 702.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 720.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
[paragraph, [98.0, 738.0, 421.0, 18.0], shoonya_0sZ3QO12SF12TQ, 6460701]
