[1162, 749]
[folio, [310.0, 76.0, 132.0, 18.0], shoonya_5s2SCLHHO2TGK9, 5699615]
[paragraph, [79.0, 120.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 138.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 156.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 174.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 192.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 210.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 228.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 246.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 264.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 282.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 300.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 318.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 336.0, 594.0, 18.0], shoonya_0sIZQ153BRL9W9, 5699615]
[paragraph, [79.0, 368.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 386.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 404.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 422.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 440.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 458.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 476.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 494.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 512.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 530.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 548.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 566.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 584.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 602.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 620.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 638.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 656.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [79.0, 674.0, 594.0, 18.0], shoonya_1sDBK85X6GTR4T, 5699615]
[paragraph, [80.0, 710.0, 594.0, 18.0], shoonya_3sBCA4O8645669, 5699615]
[paragraph, [80.0, 728.0, 594.0, 18.0], shoonya_3sBCA4O8645669, 5699615]
[paragraph, [80.0, 746.0, 594.0, 18.0], shoonya_3sBCA4O8645669, 5699615]
[paragraph, [80.0, 764.0, 594.0, 18.0], shoonya_3sBCA4O8645669, 5699615]
[paragraph, [80.0, 782.0, 594.0, 18.0], shoonya_3sBCA4O8645669, 5699615]
[paragraph, [79.0, 816.0, 599.0, 18.0], s6U1I46b1w, 5699615]
[paragraph, [79.0, 834.0, 599.0, 18.0], s6U1I46b1w, 5699615]
[paragraph, [79.0, 852.0, 599.0, 18.0], s6U1I46b1w, 5699615]
[paragraph, [79.0, 870.0, 599.0, 18.0], s6U1I46b1w, 5699615]
[paragraph, [79.0, 888.0, 599.0, 18.0], s6U1I46b1w, 5699615]
[footnote, [72.0, 940.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 958.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 976.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 994.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 1012.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 1030.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 1048.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
[footnote, [72.0, 1066.0, 614.0, 18.0], KcN8lyhFTO, 5699615]
