[668, 446]
[section-title, [130.0, 169.0, 172.0, 30.0], uw-HrMu7yj, 6495379]
[paragraph, [47.0, 297.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [47.0, 315.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [47.0, 333.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [47.0, 351.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [47.0, 369.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [47.0, 387.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [47.0, 405.0, 346.0, 18.0], shoonya_0sDG5QYWLYPQA9, 6495379]
[paragraph, [45.0, 422.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 440.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 458.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 476.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 494.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 512.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 530.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 548.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 566.0, 349.0, 18.0], pijrDv4dJF, 6495379]
[paragraph, [45.0, 584.0, 349.0, 18.0], pijrDv4dJF, 6495379]
