[2200, 1700]
[paragraph, [326.0, 80.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 116.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 152.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 188.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 224.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 260.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 296.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 332.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 368.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 404.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 440.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 476.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 512.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 548.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 584.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 620.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 656.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 692.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 728.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 764.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 800.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 836.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 872.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 908.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 944.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 980.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [326.0, 1016.0, 1094.0, 36.0], shoonya_1sXW1KXDYOO9JY, 5730965]
[paragraph, [321.0, 1047.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1083.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1119.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1155.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1191.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1227.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1263.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1299.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1335.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1371.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1407.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1443.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1479.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1515.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1551.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1587.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1623.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1659.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1695.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1731.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1767.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1803.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1839.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[paragraph, [321.0, 1875.0, 1097.0, 36.0], shoonya_0sTXK8QB77NZF2, 5730965]
[folio, [424.0, 2025.0, 371.0, 36.0], myQGiPInoc, 5730965]
