[1200, 825]
[paragraph, [141.0, 109.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 127.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 145.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 163.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 181.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 199.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 217.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 235.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 253.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 271.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 289.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 307.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 325.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 343.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [141.0, 361.0, 543.0, 18.0], shoonya_0s8WSA1BBC2U4G, 5690731]
[paragraph, [144.0, 384.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 402.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 420.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 438.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 456.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 474.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 492.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 510.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 528.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 546.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 564.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 582.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 600.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 618.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 636.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 654.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 672.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 690.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 708.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 726.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 744.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 762.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 780.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 798.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [144.0, 816.0, 537.0, 18.0], 1M5_64zixq, 5690731]
[paragraph, [143.0, 841.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 859.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 877.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 895.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 913.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 931.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 949.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 967.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 985.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 1003.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 1021.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
[paragraph, [143.0, 1039.0, 538.0, 18.0], ZQ2KCXobiF, 5690731]
