[1806, 1262]
[folio, [718.0, 102.0, 373.0, 36.0], PrPxVYqdHR, 5681856]
[paragraph, [655.0, 160.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 196.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 232.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 268.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 304.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 340.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 376.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 412.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 448.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 484.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 520.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 556.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 592.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 628.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 664.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 700.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 736.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 772.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 808.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 844.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 880.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 916.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 952.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 988.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1024.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1060.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1096.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1132.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1168.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1204.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1240.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1276.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1312.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1348.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1384.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1420.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1456.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1492.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [655.0, 1528.0, 509.0, 36.0], shoonya_3sA237WW8PQVXP, 5681856]
[paragraph, [98.0, 179.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [98.0, 215.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [98.0, 251.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [98.0, 287.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [98.0, 323.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [98.0, 359.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [98.0, 395.0, 503.0, 36.0], shoonya_2s9IBKW3CFUDD4, 5681856]
[paragraph, [99.0, 454.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 490.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 526.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 562.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 598.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 634.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 670.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 706.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 742.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 778.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
[paragraph, [99.0, 814.0, 507.0, 36.0], shoonya_0sZF6AUQOA3VG4, 5681856]
