[720, 504]
[paragraph, [52.0, 111.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 129.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 147.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 165.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 183.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 201.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 219.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 237.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 255.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [52.0, 273.0, 205.0, 18.0], shoonya_3sGIDDUFN12DJU, 5651880]
[paragraph, [266.0, 112.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 130.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 148.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 166.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 184.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 202.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 220.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 238.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [266.0, 256.0, 204.0, 18.0], shoonya_0sB2P9C5H7OFWG, 5651880]
[paragraph, [267.0, 281.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 299.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 317.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 335.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 353.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 371.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 389.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 407.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 425.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 443.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 461.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 479.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 497.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 515.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 533.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 551.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 569.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 587.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 605.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [267.0, 623.0, 203.0, 18.0], shoonya_1sV61OXXL6I7E3, 5651880]
[paragraph, [50.0, 329.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 347.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 365.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 383.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 401.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 419.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 437.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 455.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 473.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 491.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 509.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 527.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 545.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 563.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 581.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 599.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[paragraph, [50.0, 617.0, 208.0, 18.0], shoonya_2sVSPQQSOGYV2A, 5651880]
[footnote, [210.0, 683.0, 83.0, 18.0], shoonya_5sSAFQ54KPQ3VA, 5651880]
