[792, 612]
[paragraph, [122.0, 77.0, 214.0, 18.0], RyFprfrJJB, 6492641]
[sidebar, [363.0, 79.0, 159.0, 18.0], qBMquJzRYJ, 6492641]
[paragraph, [120.0, 105.0, 166.0, 18.0], mnBAlCNISz, 6492641]
[paragraph, [122.0, 130.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 148.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 166.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 184.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 202.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 220.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 238.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 256.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 274.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 292.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [122.0, 310.0, 404.0, 18.0], shoonya_0sJZ6ZJW0BYUGR, 6492641]
[paragraph, [163.0, 348.0, 121.0, 18.0], DrQHND3khh, 6492641]
[paragraph, [125.0, 373.0, 398.0, 18.0], oYqI69puLp, 6492641]
[paragraph, [125.0, 391.0, 398.0, 18.0], oYqI69puLp, 6492641]
[paragraph, [153.0, 424.0, 189.0, 18.0], -G68KEKsL0, 6492641]
[paragraph, [118.0, 451.0, 403.0, 18.0], UVrw9VAFfe, 6492641]
[paragraph, [118.0, 469.0, 403.0, 18.0], UVrw9VAFfe, 6492641]
[paragraph, [118.0, 487.0, 403.0, 18.0], UVrw9VAFfe, 6492641]
[paragraph, [123.0, 524.0, 395.0, 18.0], 5VvtDJVsF0, 6492641]
[paragraph, [123.0, 542.0, 395.0, 18.0], 5VvtDJVsF0, 6492641]
[paragraph, [124.0, 578.0, 395.0, 18.0], RRgOEvGIGk, 6492641]
[paragraph, [124.0, 596.0, 395.0, 18.0], RRgOEvGIGk, 6492641]
[paragraph, [159.0, 631.0, 90.0, 18.0], 0ecuxL_rQs, 6492641]
[paragraph, [125.0, 654.0, 399.0, 18.0], 0rM5TUqLWQ, 6492641]
[paragraph, [125.0, 672.0, 399.0, 18.0], 0rM5TUqLWQ, 6492641]
[paragraph, [122.0, 702.0, 399.0, 18.0], ncFQXkr_E3, 6492641]
[paragraph, [122.0, 720.0, 399.0, 18.0], ncFQXkr_E3, 6492641]
