[842, 596]
[section-title, [244.0, 65.0, 102.0, 30.0], shoonya_0s7IXH9QLH41SO, 5780609]
[paragraph, [56.0, 107.0, 478.0, 18.0], PCeq0wuAl7, 5780609]
[paragraph, [56.0, 125.0, 478.0, 18.0], PCeq0wuAl7, 5780609]
[paragraph, [57.0, 152.0, 478.0, 18.0], OfpGEn8Taz, 5780609]
[paragraph, [57.0, 170.0, 478.0, 18.0], OfpGEn8Taz, 5780609]
[paragraph, [57.0, 198.0, 479.0, 18.0], QKGujhp_w7, 5780609]
[paragraph, [57.0, 216.0, 479.0, 18.0], QKGujhp_w7, 5780609]
[paragraph, [57.0, 234.0, 479.0, 18.0], QKGujhp_w7, 5780609]
[paragraph, [54.0, 260.0, 485.0, 18.0], 6ybRdUU3Tl, 5780609]
[paragraph, [54.0, 297.0, 487.0, 18.0], h8C-79evA1, 5780609]
[paragraph, [54.0, 315.0, 487.0, 18.0], h8C-79evA1, 5780609]
[paragraph, [56.0, 346.0, 485.0, 18.0], iwVBvWD-K_, 5780609]
[paragraph, [56.0, 364.0, 485.0, 18.0], iwVBvWD-K_, 5780609]
[paragraph, [56.0, 390.0, 489.0, 18.0], 8BeGlBE0oM, 5780609]
[paragraph, [56.0, 408.0, 489.0, 18.0], 8BeGlBE0oM, 5780609]
[paragraph, [59.0, 433.0, 488.0, 18.0], -jigB8R1gY, 5780609]
[paragraph, [59.0, 451.0, 488.0, 18.0], -jigB8R1gY, 5780609]
[paragraph, [59.0, 469.0, 488.0, 18.0], -jigB8R1gY, 5780609]
[paragraph, [59.0, 487.0, 488.0, 18.0], -jigB8R1gY, 5780609]
[ordered-list, [74.0, 532.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 550.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 568.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 586.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 604.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 622.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 640.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
[ordered-list, [74.0, 658.0, 466.0, 18.0], mrvGBVkBVH, 5780609]
