[827, 532]
[folio, [212.0, 55.0, 96.0, 18.0], shoonya_0sF98B5RLQJ6E6, 5740358]
[paragraph, [41.0, 96.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 114.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 132.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 150.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 168.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 186.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 204.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 222.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 240.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 258.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 276.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 294.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 312.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 330.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 348.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 366.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 384.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 402.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 420.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 438.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 456.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 474.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 492.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [41.0, 510.0, 436.0, 18.0], Y4yMXFyP3L, 5740358]
[paragraph, [50.0, 548.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 566.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 584.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 602.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 620.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 638.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 656.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 674.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 692.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 710.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 728.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[paragraph, [50.0, 746.0, 428.0, 18.0], shoonya_1s8MQXXRN1060V, 5740358]
[footnote, [219.0, 789.0, 255.0, 18.0], _bwFn9vnce, 5740358]
