[2028, 1441]
[paragraph, [284.0, 231.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 267.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 303.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 339.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 375.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 411.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 447.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 483.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 519.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 555.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[paragraph, [284.0, 591.0, 1082.0, 36.0], shoonya_1sX9VEFRCVW1RI, 5651858]
[section-title, [280.0, 641.0, 192.0, 52.5], LHR5CGF8V8, 5651858]
[paragraph, [288.0, 730.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 766.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 802.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 838.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 874.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 910.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 946.0, 1074.0, 36.0], shoonya_2s6JPEKRUEXSXW, 5651858]
[paragraph, [288.0, 1013.0, 1071.0, 36.0], shoonya_3s17U73NFHJXYW, 5651858]
[paragraph, [288.0, 1049.0, 1071.0, 36.0], shoonya_3s17U73NFHJXYW, 5651858]
[paragraph, [288.0, 1085.0, 1071.0, 36.0], shoonya_3s17U73NFHJXYW, 5651858]
[paragraph, [288.0, 1121.0, 1071.0, 36.0], shoonya_3s17U73NFHJXYW, 5651858]
[paragraph, [288.0, 1157.0, 1071.0, 36.0], shoonya_3s17U73NFHJXYW, 5651858]
[paragraph, [285.0, 1222.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [285.0, 1258.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [285.0, 1294.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [285.0, 1330.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [285.0, 1366.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [285.0, 1402.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [285.0, 1438.0, 1075.0, 36.0], shoonya_4s2I5E0JL9IMR9, 5651858]
[paragraph, [284.0, 1502.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1538.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1574.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1610.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1646.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1682.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1718.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1754.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1790.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[paragraph, [284.0, 1826.0, 1075.0, 36.0], shoonya_0s09BHIYBEZ9QG, 5651858]
[footnote, [281.0, 1913.0, 563.0, 36.0], shoonya_6s1JY2N59PE6N0, 5651858]
[footnote, [281.0, 1949.0, 563.0, 36.0], shoonya_6s1JY2N59PE6N0, 5651858]
