[1571, 1128]
[folio, [260.0, 93.0, 359.0, 36.0], shoonya_12s3QQ0JJI6PN2, 6472560]
[paragraph, [586.0, 220.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[paragraph, [586.0, 256.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[paragraph, [586.0, 292.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[paragraph, [586.0, 328.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[paragraph, [586.0, 364.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[paragraph, [586.0, 400.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[paragraph, [586.0, 436.0, 441.0, 36.0], shoonya_11sAC647M4DO1F, 6472560]
[headline, [129.0, 223.0, 359.0, 37.5], shoonya_8sZAMLVWVN88IZ, 6472560]
[headline, [129.0, 260.5, 359.0, 37.5], shoonya_8sZAMLVWVN88IZ, 6472560]
[paragraph, [130.0, 322.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 358.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 394.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 430.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 466.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 502.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 538.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 574.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 610.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 646.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 682.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 718.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [130.0, 754.0, 439.0, 36.0], shoonya_0sENO7NNL1MGAQ, 6472560]
[paragraph, [586.0, 499.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 535.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 571.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 607.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 643.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 679.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 715.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 751.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 787.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 823.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [586.0, 859.0, 442.0, 36.0], shoonya_2sCRE86L2KA0G3, 6472560]
[paragraph, [126.0, 800.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
[paragraph, [126.0, 836.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
[paragraph, [126.0, 872.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
[paragraph, [126.0, 908.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
[paragraph, [126.0, 944.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
[paragraph, [126.0, 980.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
[paragraph, [126.0, 1016.0, 443.0, 36.0], shoonya_3s7MB5KZR2SBPX, 6472560]
