[1275, 1650]
[folio, [193.0, 132.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 150.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 168.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 186.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 204.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 222.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 240.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 258.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 276.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[folio, [193.0, 294.0, 581.0, 18.0], ZVmDd0Oex0, 5764974]
[second-level-question, [862.0, 248.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 266.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 284.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 302.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 320.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 338.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 356.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 374.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 392.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 410.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 428.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[second-level-question, [862.0, 446.0, 726.0, 18.0], shoonya_12sQBO697FNJZU, 5764974]
[sidebar, [567.0, 325.0, 214.0, 18.0], qSfAi70RiV, 5764974]
[sidebar, [83.0, 326.0, 124.0, 18.0], shoonya_14s9O9WSOLPEXY, 5764974]
[sidebar, [692.0, 386.0, 96.0, 18.0], shoonya_7sAGK6T2WKNTRB, 5764974]
[sidebar, [686.0, 439.0, 107.0, 18.0], tXZMfNUeys, 5764974]
[folio, [127.0, 440.0, 533.0, 18.0], shoonya_15s37CEJGLPBVL, 5764974]
[second-level-question, [78.0, 491.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 509.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 527.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 545.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 563.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 581.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 599.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 617.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 635.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 653.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 671.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 689.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 707.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 725.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 743.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 761.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 779.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 797.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 815.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 833.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 851.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 869.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 887.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 905.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 923.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 941.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 959.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 977.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[second-level-question, [78.0, 995.0, 711.0, 18.0], xpVmfZlmgV, 5764974]
[folio, [1227.0, 1076.0, 249.0, 18.0], shoonya_9sVQ35IPOZ039H, 5764974]
