[690, 512]
[folio, [200.0, 40.0, 102.0, 18.0], shoonya_7s5CSZR3WKM5OL, 6491695]
[paragraph, [30.0, 59.0, 63.0, 18.0], shoonya_0sZ04JQXJ1V0M6, 6491695]
[paragraph, [250.0, 64.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 82.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 100.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 118.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 136.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 154.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 172.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 190.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 208.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 226.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 244.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 262.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 280.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 298.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [250.0, 316.0, 234.0, 18.0], e1Fq_cQVzp, 6491695]
[paragraph, [29.0, 78.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 96.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 114.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 132.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 150.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 168.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 186.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 204.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 222.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 240.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [29.0, 258.0, 218.0, 18.0], EsTDoETjau, 6491695]
[paragraph, [20.0, 280.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 298.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 316.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 334.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 352.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 370.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 388.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 406.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 424.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 442.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 460.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 478.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 496.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [20.0, 514.0, 227.0, 18.0], wm8iwD4i42, 6491695]
[paragraph, [247.0, 348.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 366.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 384.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 402.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 420.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 438.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 456.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 474.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 492.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 510.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 528.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 546.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 564.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 582.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 600.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [247.0, 618.0, 237.0, 18.0], UPv4OypNxU, 6491695]
[paragraph, [22.0, 533.0, 224.0, 18.0], Sca10_89gn, 6491695]
[paragraph, [19.0, 566.0, 230.0, 18.0], bGr519p4-A, 6491695]
[paragraph, [16.0, 599.0, 233.0, 18.0], w1CFyRxceO, 6491695]
[paragraph, [16.0, 617.0, 233.0, 18.0], w1CFyRxceO, 6491695]
