[2338, 1654]
[paragraph, [266.0, 240.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 276.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 312.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 348.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 384.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 420.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 456.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 492.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 528.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 564.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 600.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 636.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [266.0, 672.0, 1204.0, 36.0], shoonya_1sK9B8EROC65MP, 5754090]
[paragraph, [269.0, 765.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 801.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 837.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 873.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 909.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 945.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 981.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1017.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1053.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1089.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1125.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1161.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1197.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1233.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1269.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1305.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1341.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1377.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1413.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1449.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1485.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1521.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1557.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1593.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1629.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1665.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1701.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1737.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1773.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1809.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1845.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1881.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1917.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1953.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 1989.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
[paragraph, [269.0, 2025.0, 1202.0, 36.0], shoonya_0sOYYUYUVLG5OX, 5754090]
