[1823, 1375]
[folio, [585.0, 103.0, 197.0, 36.0], shoonya_7s2W3BFMQQ4D8A, 5683922]
[paragraph, [96.0, 167.0, 578.0, 36.0], shoonya_0s42JPMTTCF7VL, 5683922]
[paragraph, [96.0, 203.0, 578.0, 36.0], shoonya_0s42JPMTTCF7VL, 5683922]
[paragraph, [96.0, 239.0, 578.0, 36.0], shoonya_0s42JPMTTCF7VL, 5683922]
[paragraph, [96.0, 275.0, 578.0, 36.0], shoonya_0s42JPMTTCF7VL, 5683922]
[paragraph, [689.0, 168.0, 576.0, 36.0], M4B3NvTKtT, 5683922]
[paragraph, [689.0, 204.0, 576.0, 36.0], M4B3NvTKtT, 5683922]
[paragraph, [97.0, 340.0, 582.0, 36.0], shoonya_1sL89LWWF8IGR2, 5683922]
[paragraph, [97.0, 376.0, 582.0, 36.0], shoonya_1sL89LWWF8IGR2, 5683922]
[paragraph, [97.0, 412.0, 582.0, 36.0], shoonya_1sL89LWWF8IGR2, 5683922]
[paragraph, [702.0, 350.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 386.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 422.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 458.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 494.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 530.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 566.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [702.0, 602.0, 569.0, 36.0], kfB8VmBUAm, 5683922]
[paragraph, [100.0, 467.0, 580.0, 36.0], shoonya_2sU7HESWFO8G3S, 5683922]
[paragraph, [100.0, 503.0, 580.0, 36.0], shoonya_2sU7HESWFO8G3S, 5683922]
[paragraph, [159.0, 552.0, 369.0, 36.0], shoonya_12sB12UKAG5O0P, 5683922]
[paragraph, [98.0, 594.0, 577.0, 36.0], shoonya_3sVVW02QWVRENJ, 5683922]
[paragraph, [98.0, 630.0, 577.0, 36.0], shoonya_3sVVW02QWVRENJ, 5683922]
[paragraph, [98.0, 666.0, 577.0, 36.0], shoonya_3sVVW02QWVRENJ, 5683922]
[paragraph, [691.0, 652.0, 584.0, 36.0], 1jfajgi3n9, 5683922]
[paragraph, [691.0, 688.0, 584.0, 36.0], 1jfajgi3n9, 5683922]
[paragraph, [691.0, 724.0, 584.0, 36.0], 1jfajgi3n9, 5683922]
[paragraph, [97.0, 718.0, 580.0, 36.0], shoonya_8sGPV1Y992KAVS, 5683922]
[paragraph, [97.0, 754.0, 580.0, 36.0], shoonya_8sGPV1Y992KAVS, 5683922]
[paragraph, [97.0, 790.0, 580.0, 36.0], shoonya_8sGPV1Y992KAVS, 5683922]
[paragraph, [691.0, 780.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 816.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 852.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 888.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 924.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 960.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 996.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 1032.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [691.0, 1068.0, 585.0, 36.0], HTHAhlba_d, 5683922]
[paragraph, [173.0, 852.0, 182.0, 36.0], shoonya_10sPW0I088KR8W, 5683922]
[paragraph, [101.0, 899.0, 581.0, 36.0], shoonya_4sP52MJY8SYP33, 5683922]
[paragraph, [101.0, 935.0, 581.0, 36.0], shoonya_4sP52MJY8SYP33, 5683922]
[paragraph, [100.0, 983.0, 579.0, 36.0], shoonya_11sNQ1SLWGNVN8, 5683922]
[paragraph, [100.0, 1019.0, 579.0, 36.0], shoonya_11sNQ1SLWGNVN8, 5683922]
[paragraph, [96.0, 1068.0, 585.0, 36.0], 5w5f9LQ7Bn, 5683922]
[paragraph, [96.0, 1104.0, 585.0, 36.0], 5w5f9LQ7Bn, 5683922]
[paragraph, [691.0, 1123.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1159.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1195.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1231.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1267.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1303.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1339.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1375.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1411.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1447.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1483.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1519.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1555.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1591.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1627.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [691.0, 1663.0, 589.0, 36.0], 9AWtrZl8LQ, 5683922]
[paragraph, [96.0, 1154.0, 582.0, 36.0], x_lqo6HVYc, 5683922]
[paragraph, [96.0, 1190.0, 582.0, 36.0], x_lqo6HVYc, 5683922]
[paragraph, [107.0, 1243.0, 573.0, 36.0], zMiwp3pYVh, 5683922]
[paragraph, [107.0, 1279.0, 573.0, 36.0], zMiwp3pYVh, 5683922]
[paragraph, [103.0, 1325.0, 582.0, 36.0], 1Pbsj6vuSf, 5683922]
[paragraph, [103.0, 1361.0, 582.0, 36.0], 1Pbsj6vuSf, 5683922]
[paragraph, [103.0, 1397.0, 582.0, 36.0], 1Pbsj6vuSf, 5683922]
[paragraph, [101.0, 1497.0, 576.0, 36.0], 1Br0n_yNsi, 5683922]
[paragraph, [101.0, 1533.0, 576.0, 36.0], 1Br0n_yNsi, 5683922]
[paragraph, [101.0, 1569.0, 576.0, 36.0], 1Br0n_yNsi, 5683922]
[paragraph, [101.0, 1605.0, 576.0, 36.0], 1Br0n_yNsi, 5683922]
[paragraph, [101.0, 1641.0, 576.0, 36.0], 1Br0n_yNsi, 5683922]
[paragraph, [101.0, 1677.0, 576.0, 36.0], 1Br0n_yNsi, 5683922]
