[1565, 1152]
[paragraph, [89.0, 118.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 154.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 190.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 226.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 262.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 298.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 334.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 370.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 406.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 442.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 478.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 514.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 550.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 586.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 622.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 658.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 694.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 730.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 766.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 802.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 838.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 874.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 910.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 946.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 982.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1018.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1054.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1090.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1126.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1162.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1198.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1234.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [89.0, 1270.0, 336.0, 36.0], shoonya_4sBL0QRWIR4HIG, 5712705]
[paragraph, [423.0, 607.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 643.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 679.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 715.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 751.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 787.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 823.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 859.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 895.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 931.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
[paragraph, [423.0, 967.0, 312.0, 36.0], shoonya_2sN6W67VQOELCV, 5712705]
