[1948, 1214]
[folio, [922.0, 136.0, 168.0, 36.0], vVVR-t3wEH, 5731880]
[paragraph, [143.0, 208.0, 882.0, 36.0], shoonya_0s0EKGHHC8H644, 5731880]
[paragraph, [143.0, 244.0, 882.0, 36.0], shoonya_0s0EKGHHC8H644, 5731880]
[paragraph, [143.0, 280.0, 882.0, 36.0], shoonya_0s0EKGHHC8H644, 5731880]
[paragraph, [143.0, 316.0, 882.0, 36.0], shoonya_0s0EKGHHC8H644, 5731880]
[paragraph, [136.0, 473.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 509.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 545.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 581.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 617.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 653.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 689.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 725.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 761.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 797.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 833.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 869.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 905.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 941.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 977.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1013.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1049.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1085.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1121.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1157.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1193.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1229.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1265.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1301.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1337.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1373.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1409.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1445.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1481.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1517.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1553.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1589.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1625.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1661.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[paragraph, [136.0, 1697.0, 892.0, 36.0], jVBFLEAmhf, 5731880]
[footnote, [186.0, 1770.0, 199.0, 36.0], shoonya_1sZCPBHNDF5EPU, 5731880]
[folio, [506.0, 1849.0, 192.0, 36.0], bW9SxiIvP8, 5731880]
