[648, 414]
[folio, [239.0, 70.0, 100.0, 18.0], 2LwQEJJq5_, 6514744]
[paragraph, [51.0, 94.0, 307.0, 18.0], shoonya_0sKDFM2H7Z0FQH, 6514744]
[paragraph, [51.0, 112.0, 307.0, 18.0], shoonya_0sKDFM2H7Z0FQH, 6514744]
[paragraph, [51.0, 130.0, 307.0, 18.0], shoonya_0sKDFM2H7Z0FQH, 6514744]
[paragraph, [51.0, 148.0, 307.0, 18.0], shoonya_0sKDFM2H7Z0FQH, 6514744]
[paragraph, [51.0, 166.0, 307.0, 18.0], shoonya_0sKDFM2H7Z0FQH, 6514744]
[paragraph, [51.0, 184.0, 307.0, 18.0], shoonya_0sKDFM2H7Z0FQH, 6514744]
[paragraph, [51.0, 223.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 241.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 259.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 277.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 295.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 313.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 331.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [51.0, 349.0, 316.0, 18.0], yZgZwmKAFw, 6514744]
[paragraph, [50.0, 412.0, 311.0, 18.0], z1yWxPAehA, 6514744]
[paragraph, [49.0, 443.0, 316.0, 18.0], Acbw-wsSMZ, 6514744]
