[792, 612]
[folio, [255.0, 59.0, 124.0, 18.0], 4pKIHvjeDQ, 6495504]
[section-title, [175.0, 109.0, 80.0, 30.0], CjqqjRiJAF, 6495504]
[author, [189.0, 149.0, 111.0, 18.0], V_iWgLEud8, 6495504]
[paragraph, [176.0, 198.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [176.0, 216.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [176.0, 234.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [176.0, 252.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [176.0, 270.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [176.0, 288.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [176.0, 306.0, 185.0, 18.0], Xmi0THN2HF, 6495504]
[paragraph, [185.0, 344.0, 257.0, 18.0], 040RpEz0Wu, 6495504]
[paragraph, [185.0, 362.0, 257.0, 18.0], 040RpEz0Wu, 6495504]
[paragraph, [185.0, 380.0, 257.0, 18.0], 040RpEz0Wu, 6495504]
[paragraph, [185.0, 398.0, 257.0, 18.0], 040RpEz0Wu, 6495504]
[paragraph, [177.0, 431.0, 298.0, 18.0], Aycdi5i7jE, 6495504]
[paragraph, [177.0, 449.0, 298.0, 18.0], Aycdi5i7jE, 6495504]
[paragraph, [177.0, 467.0, 298.0, 18.0], Aycdi5i7jE, 6495504]
[paragraph, [184.0, 499.0, 240.0, 18.0], RgtDkw4CG8, 6495504]
[paragraph, [184.0, 517.0, 240.0, 18.0], RgtDkw4CG8, 6495504]
[paragraph, [184.0, 535.0, 240.0, 18.0], RgtDkw4CG8, 6495504]
[paragraph, [184.0, 553.0, 240.0, 18.0], RgtDkw4CG8, 6495504]
[paragraph, [184.0, 571.0, 240.0, 18.0], RgtDkw4CG8, 6495504]
[paragraph, [184.0, 589.0, 240.0, 18.0], RgtDkw4CG8, 6495504]
[paragraph, [191.0, 614.0, 243.0, 18.0], H5dDpnKuxI, 6495504]
[paragraph, [191.0, 632.0, 243.0, 18.0], H5dDpnKuxI, 6495504]
[paragraph, [191.0, 650.0, 243.0, 18.0], H5dDpnKuxI, 6495504]
[paragraph, [191.0, 668.0, 243.0, 18.0], H5dDpnKuxI, 6495504]
[paragraph, [191.0, 686.0, 243.0, 18.0], H5dDpnKuxI, 6495504]
