[2334, 1650]
[paragraph, [227.0, 156.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 192.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 228.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 264.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 300.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 336.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 372.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 408.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 444.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [227.0, 480.0, 1258.0, 36.0], shoonya_0s42OS7M7OHXAS, 5652698]
[paragraph, [280.0, 543.0, 1166.0, 36.0], dx5KJ45HoM, 5652698]
[paragraph, [280.0, 579.0, 1166.0, 36.0], dx5KJ45HoM, 5652698]
[paragraph, [280.0, 615.0, 1166.0, 36.0], dx5KJ45HoM, 5652698]
[paragraph, [252.0, 657.0, 1236.0, 36.0], 4LDmxXdSH9, 5652698]
[paragraph, [252.0, 693.0, 1236.0, 36.0], 4LDmxXdSH9, 5652698]
[paragraph, [252.0, 729.0, 1236.0, 36.0], 4LDmxXdSH9, 5652698]
[paragraph, [304.0, 766.0, 696.0, 36.0], knOku9PDDz, 5652698]
[paragraph, [255.0, 819.0, 1217.0, 36.0], SygNdbfuJb, 5652698]
[paragraph, [255.0, 855.0, 1217.0, 36.0], SygNdbfuJb, 5652698]
[paragraph, [255.0, 891.0, 1217.0, 36.0], SygNdbfuJb, 5652698]
[paragraph, [253.0, 935.0, 1244.0, 36.0], o4QqvkzIYB, 5652698]
[paragraph, [253.0, 971.0, 1244.0, 36.0], o4QqvkzIYB, 5652698]
[paragraph, [253.0, 1007.0, 1244.0, 36.0], o4QqvkzIYB, 5652698]
[paragraph, [253.0, 1043.0, 1244.0, 36.0], o4QqvkzIYB, 5652698]
[paragraph, [247.0, 1093.0, 1277.0, 36.0], I3MuU9DJmJ, 5652698]
[paragraph, [247.0, 1129.0, 1277.0, 36.0], I3MuU9DJmJ, 5652698]
[paragraph, [247.0, 1165.0, 1277.0, 36.0], I3MuU9DJmJ, 5652698]
[paragraph, [247.0, 1201.0, 1277.0, 36.0], I3MuU9DJmJ, 5652698]
[paragraph, [236.0, 1256.0, 1270.0, 36.0], NGytx1zhHR, 5652698]
[paragraph, [236.0, 1292.0, 1270.0, 36.0], NGytx1zhHR, 5652698]
[paragraph, [236.0, 1328.0, 1270.0, 36.0], NGytx1zhHR, 5652698]
[paragraph, [236.0, 1364.0, 1270.0, 36.0], NGytx1zhHR, 5652698]
[paragraph, [193.0, 1429.0, 1322.0, 36.0], EzT3OKMCd2, 5652698]
[paragraph, [193.0, 1465.0, 1322.0, 36.0], EzT3OKMCd2, 5652698]
[paragraph, [193.0, 1501.0, 1322.0, 36.0], EzT3OKMCd2, 5652698]
[paragraph, [193.0, 1537.0, 1322.0, 36.0], EzT3OKMCd2, 5652698]
[paragraph, [260.0, 1594.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1630.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1666.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1702.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1738.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1774.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1810.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1846.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [260.0, 1882.0, 1225.0, 36.0], T2uEvQemtN, 5652698]
[paragraph, [244.0, 1928.0, 1246.0, 36.0], njFeHwxjtP, 5652698]
[paragraph, [244.0, 1964.0, 1246.0, 36.0], njFeHwxjtP, 5652698]
[paragraph, [244.0, 2000.0, 1246.0, 36.0], njFeHwxjtP, 5652698]
[folio, [354.0, 2101.0, 399.0, 36.0], l31bpNQFIi, 5652698]
