[2560, 1818]
[headline, [13.0, 75.0, 958.0, 52.5], oBvAfnYOGk, 5695480]
[headline, [13.0, 127.5, 958.0, 52.5], oBvAfnYOGk, 5695480]
[headline, [13.0, 180.0, 958.0, 52.5], oBvAfnYOGk, 5695480]
[headline, [13.0, 232.5, 958.0, 52.5], oBvAfnYOGk, 5695480]
[headline, [13.0, 285.0, 958.0, 52.5], oBvAfnYOGk, 5695480]
[paragraph, [20.0, 488.0, 440.0, 46.5], _RRXSirxu8, 5695480]
[paragraph, [20.0, 534.5, 440.0, 46.5], _RRXSirxu8, 5695480]
[paragraph, [20.0, 581.0, 440.0, 46.5], _RRXSirxu8, 5695480]
[paragraph, [20.0, 627.5, 440.0, 46.5], _RRXSirxu8, 5695480]
[paragraph, [20.0, 674.0, 440.0, 46.5], _RRXSirxu8, 5695480]
[paragraph, [43.0, 984.0, 414.0, 46.5], wrw0Ufr0Vs, 5695480]
[paragraph, [43.0, 1030.5, 414.0, 46.5], wrw0Ufr0Vs, 5695480]
[paragraph, [43.0, 1077.0, 414.0, 46.5], wrw0Ufr0Vs, 5695480]
[paragraph, [43.0, 1123.5, 414.0, 46.5], wrw0Ufr0Vs, 5695480]
[paragraph, [43.0, 1170.0, 414.0, 46.5], wrw0Ufr0Vs, 5695480]
[paragraph, [43.0, 1216.5, 414.0, 46.5], wrw0Ufr0Vs, 5695480]
[paragraph, [1459.0, 2032.0, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2078.5, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2125.0, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2171.5, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2218.0, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2264.5, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2311.0, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
[paragraph, [1459.0, 2357.5, 303.0, 46.5], shoonya_2sY2Q5QN6M3EPO, 5695480]
