[2339, 1653]
[paragraph, [611.0, 398.0, 804.0, 36.0], shoonya_4s1Y94PWYT4XPO, 5735548]
[paragraph, [611.0, 434.0, 804.0, 36.0], shoonya_4s1Y94PWYT4XPO, 5735548]
[paragraph, [612.0, 489.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 525.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 561.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 597.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 633.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 669.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 705.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 741.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 777.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 813.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 849.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 885.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [612.0, 921.0, 802.0, 36.0], shoonya_2s7X4C23WV2N83, 5735548]
[paragraph, [902.0, 980.0, 514.0, 36.0], shoonya_5sFJR5A92I1M4E, 5735548]
[paragraph, [902.0, 1016.0, 514.0, 36.0], shoonya_5sFJR5A92I1M4E, 5735548]
[paragraph, [902.0, 1052.0, 514.0, 36.0], shoonya_5sFJR5A92I1M4E, 5735548]
[paragraph, [902.0, 1088.0, 514.0, 36.0], shoonya_5sFJR5A92I1M4E, 5735548]
[paragraph, [902.0, 1199.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1235.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1271.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1307.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1343.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1379.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1415.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1451.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1487.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1523.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1559.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1595.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1631.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1667.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1703.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1739.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1775.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1811.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1847.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1883.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[paragraph, [902.0, 1919.0, 516.0, 36.0], shoonya_0s994XO0BND5U1, 5735548]
[folio, [240.0, 1965.0, 161.0, 36.0], shoonya_3sB0XOBZ4BUHQH, 5735548]
[folio, [1172.0, 1967.0, 247.0, 36.0], GMDSTZRh3A, 5735548]
