[2176, 1464]
[folio, [128.0, 128.0, 201.0, 36.0], GSnZP2KqBP, 5654879]
[paragraph, [200.0, 225.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 261.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 297.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 333.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 369.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 405.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 441.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 477.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 513.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [200.0, 549.0, 822.0, 36.0], shoonya_3sJEGCGWV5JGVO, 5654879]
[paragraph, [142.0, 602.0, 1181.0, 36.0], shoonya_4sU9DDXQK85EPZ, 5654879]
[paragraph, [142.0, 638.0, 1181.0, 36.0], shoonya_4sU9DDXQK85EPZ, 5654879]
[paragraph, [142.0, 674.0, 1181.0, 36.0], shoonya_4sU9DDXQK85EPZ, 5654879]
[paragraph, [142.0, 710.0, 1181.0, 36.0], shoonya_4sU9DDXQK85EPZ, 5654879]
[paragraph, [143.0, 776.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 812.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 848.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 884.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 920.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 956.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 992.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 1028.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 1064.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 1100.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 1136.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 1172.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [143.0, 1208.0, 1185.0, 36.0], shoonya_0s5GHK9MRHXTVN, 5654879]
[paragraph, [146.0, 1275.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [146.0, 1311.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [146.0, 1347.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [146.0, 1383.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [146.0, 1419.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [146.0, 1455.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [146.0, 1491.0, 1182.0, 36.0], shoonya_1sABM4HDX8N4YD, 5654879]
[paragraph, [144.0, 1544.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1580.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1616.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1652.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1688.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1724.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1760.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[paragraph, [144.0, 1796.0, 1189.0, 36.0], 0rkdZ496_z, 5654879]
[reference, [142.0, 1873.0, 735.0, 36.0], z-sX5zKCgv, 5654879]
[reference, [142.0, 1909.0, 735.0, 36.0], z-sX5zKCgv, 5654879]
[reference, [142.0, 1945.0, 735.0, 36.0], z-sX5zKCgv, 5654879]
[reference, [142.0, 1981.0, 735.0, 36.0], z-sX5zKCgv, 5654879]
[reference, [142.0, 2017.0, 735.0, 36.0], z-sX5zKCgv, 5654879]
