[1211, 798]
[folio, [346.0, 49.0, 95.0, 18.0], NvZk1FdkQ9, 5740769]
[paragraph, [42.0, 100.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 118.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 136.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 154.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 172.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 190.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 208.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [42.0, 226.0, 698.0, 18.0], shoonya_0s5JVA97I2KYK3, 5740769]
[paragraph, [43.0, 268.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 286.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 304.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 322.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 340.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 358.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 376.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 394.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 412.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 430.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 448.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 466.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 484.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 502.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 520.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 538.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 556.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 574.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 592.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 610.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 628.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 646.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 664.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 682.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 700.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 718.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 736.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 754.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 772.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 790.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 808.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 826.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 844.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [43.0, 862.0, 697.0, 18.0], 0LmsLXhZoa, 5740769]
[paragraph, [52.0, 892.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 910.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 928.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 946.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 964.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 982.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1000.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1018.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1036.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1054.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1072.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1090.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1108.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1126.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[paragraph, [52.0, 1144.0, 700.0, 18.0], yYFI7FaYrK, 5740769]
[footnote, [419.0, 1173.0, 320.0, 18.0], shoonya_1sVZACIWPUI85P, 5740769]
