[2284, 1643]
[paragraph, [332.0, 160.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 196.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 232.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 268.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 304.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 340.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 376.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 412.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [332.0, 448.0, 1184.0, 36.0], shoonya_2s4JP8YI0WAP3N, 5733466]
[paragraph, [330.0, 559.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 595.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 631.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 667.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 703.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 739.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 775.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 811.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 847.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 883.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [330.0, 919.0, 1173.0, 36.0], shoonya_1sDJVFBWNVSNEW, 5733466]
[paragraph, [324.0, 1115.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1151.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1187.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1223.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1259.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1295.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1331.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [324.0, 1367.0, 1172.0, 36.0], shoonya_3sOLZ8XF73WPTD, 5733466]
[paragraph, [317.0, 1452.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1488.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1524.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1560.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1596.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1632.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1668.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1704.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1740.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1776.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1812.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1848.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
[paragraph, [317.0, 1884.0, 1181.0, 36.0], shoonya_0sOA9AUNNHN2PV, 5733466]
