[1545, 2000]
[section-title, [14.0, 77.0, 374.0, 49.5], BFAojwBB03, 6490966]
[section-title, [14.0, 126.5, 374.0, 49.5], BFAojwBB03, 6490966]
[folio, [1617.0, 117.0, 104.0, 36.0], JLpzDoQnPp, 6490966]
[sub-section-title, [24.0, 197.0, 369.0, 36.0], rCV1UmDlmJ, 6490966]
[sub-section-title, [24.0, 233.0, 369.0, 36.0], rCV1UmDlmJ, 6490966]
[sub-section-title, [24.0, 269.0, 369.0, 36.0], rCV1UmDlmJ, 6490966]
[sub-section-title, [24.0, 305.0, 369.0, 36.0], rCV1UmDlmJ, 6490966]
[paragraph, [21.0, 356.0, 605.0, 36.0], shoonya_1sJQ0QW8Q9N9NF, 6490966]
[paragraph, [21.0, 392.0, 605.0, 36.0], shoonya_1sJQ0QW8Q9N9NF, 6490966]
[paragraph, [21.0, 428.0, 605.0, 36.0], shoonya_1sJQ0QW8Q9N9NF, 6490966]
[paragraph, [21.0, 464.0, 605.0, 36.0], shoonya_1sJQ0QW8Q9N9NF, 6490966]
[paragraph, [21.0, 500.0, 605.0, 36.0], shoonya_1sJQ0QW8Q9N9NF, 6490966]
[headline, [1518.0, 594.0, 307.0, 37.5], V1Tlo8cWOe, 6490966]
[headline, [1518.0, 631.5, 307.0, 37.5], V1Tlo8cWOe, 6490966]
[sub-headline, [1510.0, 686.0, 319.0, 36.0], SU8jMIotLs, 6490966]
[sub-headline, [1510.0, 722.0, 319.0, 36.0], SU8jMIotLs, 6490966]
[sub-headline, [1510.0, 758.0, 319.0, 36.0], SU8jMIotLs, 6490966]
[section-title, [17.0, 903.0, 367.0, 49.5], 4wYH5Q90wR, 6490966]
[section-title, [694.0, 1005.0, 262.0, 49.5], Rfzp7r0yxh, 6490966]
[section-title, [694.0, 1054.5, 262.0, 49.5], Rfzp7r0yxh, 6490966]
[sub-section-title, [22.0, 1023.0, 399.0, 36.0], GmRkQBp8_t, 6490966]
[sub-section-title, [22.0, 1059.0, 399.0, 36.0], GmRkQBp8_t, 6490966]
[sub-section-title, [22.0, 1095.0, 399.0, 36.0], GmRkQBp8_t, 6490966]
[paragraph, [684.0, 1158.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1194.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1230.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1266.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1302.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1338.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1374.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [684.0, 1410.0, 626.0, 36.0], cbB12S3kGh, 6490966]
[paragraph, [18.0, 1175.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1211.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1247.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1283.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1319.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1355.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1391.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[paragraph, [18.0, 1427.0, 607.0, 36.0], shoonya_3sC8A1E5YILDG1, 6490966]
[website-link, [1524.0, 1377.0, 285.0, 18.0], shoonya_8s0OBRWJKZMM7X, 6490966]
[website-link, [1524.0, 1395.0, 285.0, 18.0], shoonya_8s0OBRWJKZMM7X, 6490966]
