[842, 595]
[ordered-list, [37.0, 43.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 61.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 79.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 97.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 115.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 133.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 151.0, 528.0, 18.0], 776fptlus5, 5765585]
[ordered-list, [37.0, 169.0, 528.0, 18.0], 776fptlus5, 5765585]
[unordered-list, [72.0, 76.0, 470.0, 18.0], shoonya_1sEJ43NCFWS751, 5765585]
[unordered-list, [72.0, 94.0, 470.0, 18.0], shoonya_1sEJ43NCFWS751, 5765585]
[unordered-list, [72.0, 112.0, 470.0, 18.0], shoonya_1sEJ43NCFWS751, 5765585]
[unordered-list, [71.0, 165.0, 473.0, 18.0], shoonya_4sZXEZ07N0M36K, 5765585]
[unordered-list, [73.0, 225.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
[unordered-list, [73.0, 243.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
[unordered-list, [73.0, 261.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
[unordered-list, [73.0, 279.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
[unordered-list, [73.0, 297.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
[unordered-list, [73.0, 315.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
[unordered-list, [73.0, 333.0, 475.0, 18.0], shoonya_0sJ3N7L0LWDH0F, 5765585]
