[1650, 1050]
[paragraph, [248.0, 127.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 163.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 199.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 235.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 271.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 307.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 343.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 379.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 415.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 451.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 487.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 523.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 559.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 595.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 631.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 667.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 703.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 739.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 775.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 811.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 847.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 883.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 919.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 955.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 991.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1027.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1063.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1099.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1135.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1171.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1207.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1243.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1279.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1315.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1351.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1387.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[paragraph, [248.0, 1423.0, 592.0, 36.0], TsDg2qhq6Y, 5732660]
[folio, [509.0, 1529.0, 124.0, 36.0], M6OUMYL_Hw, 5732660]
