[2067, 1567]
[folio, [189.0, 195.0, 293.0, 36.0], o3HNtMyLJW, 5735659]
[folio, [1236.0, 195.0, 142.0, 36.0], X728_944Im, 5735659]
[paragraph, [790.0, 249.0, 592.0, 36.0], shoonya_5sU3RELCSBZ15T, 5735659]
[paragraph, [790.0, 285.0, 592.0, 36.0], shoonya_5sU3RELCSBZ15T, 5735659]
[paragraph, [790.0, 321.0, 592.0, 36.0], shoonya_5sU3RELCSBZ15T, 5735659]
[paragraph, [190.0, 252.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 288.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 324.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 360.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 396.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 432.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 468.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 504.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[paragraph, [190.0, 540.0, 581.0, 36.0], shoonya_0s27GNBTNTQA7J, 5735659]
[author, [1115.0, 387.0, 262.0, 36.0], 1EIgVUqhuP, 5735659]
[paragraph, [1052.0, 606.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 642.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 678.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 714.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 750.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 786.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 822.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 858.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [1052.0, 894.0, 326.0, 36.0], rmdsp35p2Q, 5735659]
[paragraph, [192.0, 610.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 646.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 682.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 718.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 754.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 790.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 826.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [192.0, 862.0, 577.0, 36.0], shoonya_2sUYK6Y4EZMBPW, 5735659]
[paragraph, [193.0, 916.0, 581.0, 36.0], shoonya_3s8BBQ3DNUS0XY, 5735659]
[paragraph, [193.0, 952.0, 581.0, 36.0], shoonya_3s8BBQ3DNUS0XY, 5735659]
[paragraph, [193.0, 988.0, 581.0, 36.0], shoonya_3s8BBQ3DNUS0XY, 5735659]
[paragraph, [193.0, 1024.0, 581.0, 36.0], shoonya_3s8BBQ3DNUS0XY, 5735659]
[paragraph, [789.0, 966.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1002.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1038.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1074.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1110.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1146.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1182.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1218.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1254.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1290.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1326.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1362.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1398.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1434.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1470.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1506.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1542.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1578.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1614.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[paragraph, [789.0, 1650.0, 584.0, 36.0], shoonya_7sTIWK4Q6XPV7B, 5735659]
[sidebar, [15.0, 1078.0, 138.0, 36.0], l6LpjloFRB, 5735659]
[paragraph, [192.0, 1099.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1135.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1171.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1207.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1243.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1279.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1315.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1351.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1387.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1423.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1459.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1495.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1531.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1567.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
[paragraph, [192.0, 1603.0, 581.0, 36.0], shoonya_1sC25QKOHOMZ7U, 5735659]
