[3508, 2481]
[contact-info, [645.0, 142.0, 1389.0, 52.5], kYlpTKsW4N, 6490950]
[contact-info, [645.0, 194.5, 1389.0, 52.5], kYlpTKsW4N, 6490950]
[contact-info, [645.0, 247.0, 1389.0, 52.5], kYlpTKsW4N, 6490950]
[contact-info, [645.0, 299.5, 1389.0, 52.5], kYlpTKsW4N, 6490950]
[headline, [1060.0, 458.0, 334.0, 52.5], w78ERYxJsO, 6490950]
[headline, [1060.0, 510.5, 334.0, 52.5], w78ERYxJsO, 6490950]
[dateline, [226.0, 863.0, 412.0, 52.5], shoonya_2s1DA5CAB7YWW6, 6490950]
[paragraph, [227.0, 1128.0, 462.0, 52.5], shoonya_3sOITV3J2WNH3T, 6490950]
[paragraph, [223.0, 1246.0, 2043.0, 52.5], shoonya_5sURTYUGXLWYCV, 6490950]
[paragraph, [223.0, 1298.5, 2043.0, 52.5], shoonya_5sURTYUGXLWYCV, 6490950]
[paragraph, [223.0, 1351.0, 2043.0, 52.5], shoonya_5sURTYUGXLWYCV, 6490950]
[paragraph, [223.0, 1403.5, 2043.0, 52.5], shoonya_5sURTYUGXLWYCV, 6490950]
[paragraph, [223.0, 1456.0, 2043.0, 52.5], shoonya_5sURTYUGXLWYCV, 6490950]
[paragraph, [223.0, 1508.5, 2043.0, 52.5], shoonya_5sURTYUGXLWYCV, 6490950]
[unordered-list, [263.0, 1642.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 1694.5, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 1747.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 1799.5, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 1852.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 1904.5, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 1957.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 2009.5, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 2062.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 2114.5, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 2167.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 2219.5, 2022.0, 52.5], w2R80ndfja, 6490950]
[unordered-list, [263.0, 2272.0, 2022.0, 52.5], w2R80ndfja, 6490950]
[contact-info, [1788.0, 2714.0, 478.0, 52.5], shoonya_4s8N0H5CQCK22F, 6490950]
[contact-info, [988.0, 3272.0, 506.0, 52.5], shoonya_6s0HDZ57RBLOZB, 6490950]
