[842, 595]
[paragraph, [53.0, 92.0, 242.0, 18.0], shoonya_14s49O4AKT4BGE, 5742588]
[paragraph, [53.0, 110.0, 242.0, 18.0], shoonya_14s49O4AKT4BGE, 5742588]
[paragraph, [299.0, 94.0, 173.0, 18.0], AYZcHBRI-R, 5742588]
[paragraph, [299.0, 112.0, 173.0, 18.0], AYZcHBRI-R, 5742588]
[paragraph, [299.0, 130.0, 173.0, 18.0], AYZcHBRI-R, 5742588]
[paragraph, [299.0, 148.0, 173.0, 18.0], AYZcHBRI-R, 5742588]
[paragraph, [54.0, 135.0, 241.0, 18.0], shoonya_8sDJBMQ8DV3L5B, 5742588]
[paragraph, [54.0, 153.0, 241.0, 18.0], shoonya_8sDJBMQ8DV3L5B, 5742588]
[paragraph, [300.0, 177.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 195.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 213.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 231.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 249.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 267.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 285.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 303.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [300.0, 321.0, 135.0, 18.0], e_ZrZBEH0Z, 5742588]
[paragraph, [51.0, 187.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 205.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 223.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 241.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 259.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 277.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 295.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 313.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 331.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 349.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [51.0, 367.0, 244.0, 18.0], shoonya_3sBQ4OSK9B49D8, 5742588]
[paragraph, [301.0, 362.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 380.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 398.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 416.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 434.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 452.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 470.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 488.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [301.0, 506.0, 246.0, 18.0], shoonya_2sZORI6KTLT483, 5742588]
[paragraph, [54.0, 391.0, 240.0, 18.0], shoonya_0sJ0NL9WMJMED7, 5742588]
[paragraph, [54.0, 409.0, 240.0, 18.0], shoonya_0sJ0NL9WMJMED7, 5742588]
