[842, 595]
[paragraph, [75.0, 113.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 131.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 149.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 167.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 185.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 203.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 221.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 239.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 257.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 275.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 293.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 311.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 329.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 347.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 365.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 383.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 401.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 419.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [75.0, 437.0, 218.0, 18.0], shoonya_0sFCUEH9S1FPJN, 5739803]
[paragraph, [301.0, 114.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 132.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 150.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 168.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 186.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 204.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 222.0, 219.0, 18.0], shoonya_3sCK7HUECGP7D7, 5739803]
[paragraph, [301.0, 251.0, 218.0, 18.0], shoonya_2sO703CBIIOL6B, 5739803]
[paragraph, [301.0, 269.0, 218.0, 18.0], shoonya_2sO703CBIIOL6B, 5739803]
[paragraph, [301.0, 287.0, 218.0, 18.0], shoonya_2sO703CBIIOL6B, 5739803]
[paragraph, [302.0, 323.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[paragraph, [302.0, 341.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[paragraph, [302.0, 359.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[paragraph, [302.0, 377.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[paragraph, [302.0, 395.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[paragraph, [302.0, 413.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[paragraph, [302.0, 431.0, 219.0, 18.0], shoonya_1sLRVXXI6Q4E5P, 5739803]
[index, [301.0, 516.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 534.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 552.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 570.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 588.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 606.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 624.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 642.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 660.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 678.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [301.0, 696.0, 223.0, 18.0], LZqtCSeprI, 5739803]
[index, [68.0, 518.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 536.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 554.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 572.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 590.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 608.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 626.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 644.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 662.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 680.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[index, [68.0, 698.0, 226.0, 18.0], O6yujfLHHT, 5739803]
[website-link, [224.0, 802.0, 147.0, 18.0], XFMVXIEM9g, 5739803]
