[1755, 1241]
[folio, [566.0, 195.0, 517.0, 36.0], 8pJteFhN8L, 5760150]
[paragraph, [239.0, 278.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 314.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 350.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 386.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 422.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 458.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 494.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 530.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 566.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [239.0, 602.0, 855.0, 36.0], psY4OZ2vn_, 5760150]
[paragraph, [245.0, 674.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 710.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 746.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 782.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 818.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 854.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 890.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 926.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 962.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 998.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1034.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1070.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1106.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1142.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1178.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1214.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1250.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1286.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1322.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1358.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1394.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1430.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1466.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1502.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1538.0, 838.0, 36.0], suO1eEgEEI, 5760150]
[paragraph, [245.0, 1574.0, 838.0, 36.0], suO1eEgEEI, 5760150]
