[991, 609]
[folio, [282.0, 31.0, 67.0, 18.0], 5cNiNIBJtB, 5756712]
[ordered-list, [78.0, 69.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 87.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 105.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 123.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 141.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 159.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 177.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 195.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 213.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 231.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 249.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 267.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 285.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 303.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 321.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 339.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 357.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 375.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 393.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 411.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 429.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 447.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 465.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 483.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 501.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 519.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 537.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 555.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 573.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 591.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 609.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 627.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 645.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 663.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 681.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 699.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 717.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 735.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 753.0, 495.0, 18.0], d_nv2Npaax, 5756712]
[ordered-list, [78.0, 771.0, 495.0, 18.0], d_nv2Npaax, 5756712]
