[1823, 1375]
[folio, [457.0, 93.0, 460.0, 36.0], shoonya_3sVNXLCNKQB925, 5683769]
[paragraph, [696.0, 158.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 194.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 230.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 266.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 302.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 338.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 374.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [696.0, 410.0, 582.0, 36.0], shoonya_1sIDDXPYEDJMWI, 5683769]
[paragraph, [101.0, 160.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 196.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 232.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 268.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 304.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 340.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 376.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 412.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 448.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 484.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 520.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 556.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
[paragraph, [101.0, 592.0, 586.0, 36.0], shoonya_0sSR080JS8QQ4Q, 5683769]
