[792, 612]
[paragraph, [111.0, 96.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 114.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 132.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 150.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 168.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 186.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 204.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 222.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 240.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 258.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 276.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 294.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 312.0, 423.0, 18.0], shoonya_0sIH7QGJ20OJRY, 5770035]
[paragraph, [111.0, 360.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 378.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 396.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 414.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 432.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 450.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 468.0, 422.0, 18.0], shoonya_2sMPKUC0UWWDF5, 5770035]
[paragraph, [111.0, 575.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 593.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 611.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 629.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 647.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 665.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 683.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 701.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
[paragraph, [111.0, 719.0, 424.0, 18.0], shoonya_3sQQJLMSBN8Y3F, 5770035]
