[576, 360]
[folio, [147.0, 32.0, 161.0, 18.0], s5HeZQIGGp, 6514684]
[paragraph, [26.0, 64.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [26.0, 82.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [26.0, 100.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [26.0, 118.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [26.0, 136.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [26.0, 154.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [26.0, 172.0, 303.0, 18.0], shoonya_1sSU61WN9KJ31Q, 6514684]
[paragraph, [28.0, 211.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 229.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 247.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 265.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 283.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 301.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 319.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 337.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 355.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 373.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 391.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 409.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 427.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 445.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 463.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 481.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
[paragraph, [28.0, 499.0, 299.0, 18.0], shoonya_0s6TTFB65XWP23, 6514684]
