[1755, 1241]
[paragraph, [197.0, 269.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 305.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 341.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 377.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 413.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 449.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 485.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 521.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 557.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 593.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 629.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 665.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 701.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 737.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 773.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 809.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 845.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 881.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 917.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 953.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [197.0, 989.0, 850.0, 36.0], RDPm616UI5, 5760768]
[paragraph, [187.0, 1064.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1100.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1136.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1172.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1208.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1244.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1280.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1316.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1352.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1388.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1424.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1460.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1496.0, 853.0, 36.0], C14TItM-Kl, 5760768]
[paragraph, [187.0, 1532.0, 853.0, 36.0], C14TItM-Kl, 5760768]
