[567, 454]
[paragraph, [229.0, 27.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 45.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 63.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 81.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 99.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 117.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 135.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 153.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 171.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [229.0, 189.0, 191.0, 18.0], shoonya_2sER1CDFUFO5WC, 6459348]
[paragraph, [37.0, 29.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 47.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 65.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 83.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 101.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 119.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 137.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 155.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 173.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 191.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 209.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [37.0, 227.0, 191.0, 18.0], shoonya_3sTZJ9V2CJ1TVA, 6459348]
[paragraph, [230.0, 221.0, 193.0, 18.0], kVlI-JEs9m, 6459348]
[paragraph, [230.0, 239.0, 193.0, 18.0], kVlI-JEs9m, 6459348]
[paragraph, [230.0, 257.0, 193.0, 18.0], kVlI-JEs9m, 6459348]
[paragraph, [230.0, 275.0, 193.0, 18.0], kVlI-JEs9m, 6459348]
[paragraph, [230.0, 293.0, 193.0, 18.0], kVlI-JEs9m, 6459348]
[paragraph, [33.0, 257.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [33.0, 275.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [33.0, 293.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [33.0, 311.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [33.0, 329.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [33.0, 347.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [33.0, 365.0, 191.0, 18.0], shoonya_1s3KXG6A2MNJ6L, 6459348]
[paragraph, [228.0, 314.0, 192.0, 18.0], UgOXPbI1qY, 6459348]
[paragraph, [228.0, 332.0, 192.0, 18.0], UgOXPbI1qY, 6459348]
[paragraph, [228.0, 350.0, 192.0, 18.0], UgOXPbI1qY, 6459348]
[paragraph, [228.0, 368.0, 192.0, 18.0], UgOXPbI1qY, 6459348]
