[668, 446]
[paragraph, [53.0, 79.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 97.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 115.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 133.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 151.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 169.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 187.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 205.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [53.0, 223.0, 360.0, 18.0], shoonya_0sN43YIGN2CJ34, 6496234]
[paragraph, [54.0, 268.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 286.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 304.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 322.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 340.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 358.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 376.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 394.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 412.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 430.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 448.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 466.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 484.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 502.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 520.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 538.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 556.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
[paragraph, [54.0, 574.0, 357.0, 18.0], l1Jic7HhtX, 6496234]
