[2806, 1983]
[paragraph, [209.0, 223.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 269.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 316.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 362.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 409.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 455.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 502.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 548.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 595.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 641.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 688.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 734.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 781.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 827.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 874.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 920.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 967.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 1013.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 1060.0, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [209.0, 1106.5, 1551.0, 46.5], shoonya_0sXTUEJMG2EEXB, 5682584]
[paragraph, [216.0, 1287.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1333.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1380.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1426.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1473.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1519.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1566.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1612.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1659.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1705.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1752.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1798.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1845.0, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [216.0, 1891.5, 1554.0, 46.5], shoonya_1s255G4NTROQJJ, 5682584]
[paragraph, [220.0, 2116.0, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2162.5, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2209.0, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2255.5, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2302.0, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2348.5, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2395.0, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2441.5, 1546.0, 46.5], 1eJVhoao4p, 5682584]
[paragraph, [220.0, 2488.0, 1546.0, 46.5], 1eJVhoao4p, 5682584]
