[1987, 1270]
[folio, [564.0, 120.0, 134.0, 36.0], shoonya_0s67H7263NK3KZ, 5682856]
[paragraph, [119.0, 189.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 225.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 261.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 297.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 333.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 369.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 405.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 441.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 477.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 513.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 549.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 585.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 621.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 657.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 693.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 729.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 765.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 801.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 837.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 873.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 909.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 945.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [119.0, 981.0, 1023.0, 36.0], Kxy1N1wnGj, 5682856]
[paragraph, [128.0, 1032.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1068.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1104.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1140.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1176.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1212.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1248.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1284.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1320.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1356.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [128.0, 1392.0, 1016.0, 36.0], shoonya_1sZNMALAW3ZIXI, 5682856]
[paragraph, [132.0, 1451.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1487.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1523.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1559.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1595.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1631.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1667.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1703.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1739.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [132.0, 1775.0, 1011.0, 36.0], shoonya_2sWDQPPSA75217, 5682856]
[paragraph, [157.0, 1816.0, 985.0, 36.0], 1BOTEeAk9N, 5682856]
