[1388, 886]
[folio, [316.0, 49.0, 209.0, 18.0], xQ86oVToUH, 5742148]
[folio, [316.0, 67.0, 209.0, 18.0], xQ86oVToUH, 5742148]
[folio, [32.0, 52.0, 145.0, 18.0], ljkVf8iJl4, 5742148]
[folio, [32.0, 70.0, 145.0, 18.0], ljkVf8iJl4, 5742148]
[paragraph, [466.0, 121.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 139.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 157.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 175.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 193.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 211.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 229.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 247.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 265.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 283.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 301.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 319.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 337.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 355.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 373.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 391.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 409.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 427.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 445.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 463.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 481.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [466.0, 499.0, 379.0, 18.0], yhgQdWd4SC, 5742148]
[paragraph, [25.0, 135.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 153.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 171.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 189.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 207.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 225.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 243.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 261.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 279.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 297.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 315.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 333.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 351.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 369.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [25.0, 387.0, 405.0, 18.0], _UbWtl4Ons, 5742148]
[paragraph, [29.0, 410.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 428.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 446.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 464.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 482.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 500.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 518.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 536.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [29.0, 554.0, 401.0, 18.0], YJdBdjPsD6, 5742148]
[paragraph, [438.0, 525.0, 413.0, 18.0], TYQ-lyeOLK, 5742148]
[paragraph, [438.0, 543.0, 413.0, 18.0], TYQ-lyeOLK, 5742148]
[paragraph, [438.0, 561.0, 413.0, 18.0], TYQ-lyeOLK, 5742148]
[paragraph, [438.0, 579.0, 413.0, 18.0], TYQ-lyeOLK, 5742148]
[paragraph, [438.0, 597.0, 413.0, 18.0], TYQ-lyeOLK, 5742148]
[paragraph, [438.0, 615.0, 413.0, 18.0], TYQ-lyeOLK, 5742148]
