[1162, 749]
[folio, [299.0, 76.0, 156.0, 18.0], shoonya_3sTS3G1OTHYVRE, 5699294]
[paragraph, [81.0, 122.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 140.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 158.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 176.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 194.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 212.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 230.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 248.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [81.0, 266.0, 594.0, 18.0], shoonya_2sBR5O0LH39L2R, 5699294]
[paragraph, [83.0, 299.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 317.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 335.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 353.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 371.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 389.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 407.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 425.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 443.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 461.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 479.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 497.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [83.0, 515.0, 585.0, 18.0], shoonya_1sH9R5UVW1G43K, 5699294]
[paragraph, [82.0, 546.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 564.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 582.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 600.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 618.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 636.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 654.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 672.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 690.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 708.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 726.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 744.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 762.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 780.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 798.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 816.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 834.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 852.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 870.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 888.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 906.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 924.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 942.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 960.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 978.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 996.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 1014.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 1032.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 1050.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
[paragraph, [82.0, 1068.0, 583.0, 18.0], shoonya_0sOMCS44JYWWGE, 5699294]
