[792, 612]
[folio, [237.0, 48.0, 127.0, 18.0], PH5woAScCG, 6494818]
[paragraph, [100.0, 77.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 95.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 113.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 131.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 149.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 167.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 185.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 203.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 221.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 239.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 257.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 275.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 293.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 311.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 329.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 347.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 365.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 383.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 401.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 419.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 437.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 455.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 473.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 491.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 509.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 527.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 545.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 563.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 581.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 599.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 617.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 635.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 653.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 671.0, 392.0, 18.0], q0HOFrwos4, 6494818]
[paragraph, [100.0, 689.0, 392.0, 18.0], q0HOFrwos4, 6494818]
