[1650, 1050]
[paragraph, [159.0, 96.0, 618.0, 36.0], 3Q36yNKYNn, 5731948]
[paragraph, [159.0, 132.0, 618.0, 36.0], 3Q36yNKYNn, 5731948]
[paragraph, [227.0, 201.0, 522.0, 36.0], vC1Z2P0M7f, 5731948]
[paragraph, [227.0, 237.0, 522.0, 36.0], vC1Z2P0M7f, 5731948]
[paragraph, [174.0, 308.0, 525.0, 36.0], kuAGE2BoYh, 5731948]
[paragraph, [174.0, 344.0, 525.0, 36.0], kuAGE2BoYh, 5731948]
[paragraph, [246.0, 416.0, 539.0, 36.0], Tsp-UySrJj, 5731948]
[paragraph, [246.0, 452.0, 539.0, 36.0], Tsp-UySrJj, 5731948]
[paragraph, [173.0, 572.0, 705.0, 36.0], 9EMHEr0V40, 5731948]
[paragraph, [173.0, 608.0, 705.0, 36.0], 9EMHEr0V40, 5731948]
[paragraph, [243.0, 670.0, 649.0, 36.0], uaH0RQ29mE, 5731948]
[paragraph, [243.0, 706.0, 649.0, 36.0], uaH0RQ29mE, 5731948]
[paragraph, [243.0, 742.0, 649.0, 36.0], uaH0RQ29mE, 5731948]
[paragraph, [160.0, 779.0, 716.0, 36.0], jMghZn1t7U, 5731948]
[paragraph, [160.0, 815.0, 716.0, 36.0], jMghZn1t7U, 5731948]
[paragraph, [160.0, 851.0, 716.0, 36.0], jMghZn1t7U, 5731948]
[paragraph, [182.0, 1013.0, 692.0, 36.0], ekK9qpNNcx, 5731948]
[paragraph, [182.0, 1049.0, 692.0, 36.0], ekK9qpNNcx, 5731948]
[paragraph, [182.0, 1085.0, 692.0, 36.0], ekK9qpNNcx, 5731948]
[paragraph, [182.0, 1121.0, 692.0, 36.0], ekK9qpNNcx, 5731948]
[paragraph, [182.0, 1157.0, 692.0, 36.0], ekK9qpNNcx, 5731948]
[paragraph, [252.0, 1222.0, 646.0, 36.0], XS3sSJ3lcP, 5731948]
[paragraph, [252.0, 1258.0, 646.0, 36.0], XS3sSJ3lcP, 5731948]
[paragraph, [252.0, 1294.0, 646.0, 36.0], XS3sSJ3lcP, 5731948]
[paragraph, [252.0, 1330.0, 646.0, 36.0], XS3sSJ3lcP, 5731948]
[paragraph, [252.0, 1366.0, 646.0, 36.0], XS3sSJ3lcP, 5731948]
[folio, [494.0, 1496.0, 146.0, 36.0], jtQdP3HEn-, 5731948]
