[900, 630]
[section-title, [134.0, 188.0, 81.0, 30.0], shoonya_2s5KH7HOFUBF1R, 5744796]
[paragraph, [135.0, 225.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 243.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 261.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 279.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 297.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 315.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 333.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 351.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 369.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 387.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 405.0, 366.0, 18.0], shoonya_0sB52SUD72M5N2, 5744796]
[paragraph, [135.0, 433.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 451.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 469.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 487.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 505.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 523.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 541.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 559.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 577.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [135.0, 595.0, 365.0, 18.0], shoonya_1s0VSBOPIIGIP2, 5744796]
[paragraph, [136.0, 620.0, 365.0, 18.0], shoonya_3s7Z9TL04E47UV, 5744796]
[paragraph, [136.0, 638.0, 365.0, 18.0], shoonya_3s7Z9TL04E47UV, 5744796]
[paragraph, [136.0, 656.0, 365.0, 18.0], shoonya_3s7Z9TL04E47UV, 5744796]
[contact-info, [130.0, 683.0, 172.0, 18.0], shoonya_4sMI4TMM7XRRUP, 5744796]
[contact-info, [130.0, 701.0, 172.0, 18.0], shoonya_4sMI4TMM7XRRUP, 5744796]
[contact-info, [130.0, 719.0, 172.0, 18.0], shoonya_4sMI4TMM7XRRUP, 5744796]
