[2339, 1653]
[placeholder-text, [28.0, 413.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 431.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 449.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 467.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 485.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 503.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 521.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 539.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 557.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 575.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 593.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 611.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 629.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 647.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 665.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 683.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 701.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 719.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 737.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 755.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 773.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 791.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 809.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 827.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 845.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 863.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 881.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 899.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 917.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 935.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 953.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 971.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 989.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 1007.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 1025.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 1043.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 1061.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 1079.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[placeholder-text, [28.0, 1097.0, 1597.0, 18.0], shoonya_0sJIM6WMP4B89F, 5689801]
[section-title, [722.0, 1420.0, 209.0, 52.5], shoonya_6s13FF3V0453ZR, 5689801]
[paragraph, [180.0, 1531.0, 1286.0, 36.0], 0k7piYE1Ni, 5689801]
[paragraph, [180.0, 1567.0, 1286.0, 36.0], 0k7piYE1Ni, 5689801]
[sidebar, [1219.0, 1582.0, 243.0, 36.0], shoonya_16sINCYJTF5WEQ, 5689801]
[paragraph, [328.0, 1634.0, 1196.0, 36.0], e1tv0GK_OL, 5689801]
[paragraph, [328.0, 1670.0, 1196.0, 36.0], e1tv0GK_OL, 5689801]
[sidebar, [1214.0, 1697.0, 252.0, 36.0], zWpVln8NVB, 5689801]
[folio, [187.0, 2082.0, 126.0, 36.0], shoonya_15sG7BP1GGFWPT, 5689801]
