[576, 792]
[paragraph, [96.0, 60.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 78.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 96.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 114.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 132.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 150.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 168.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 186.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 204.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 222.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 240.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 258.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 276.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 294.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 312.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 330.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 348.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 366.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 384.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 402.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 420.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [96.0, 438.0, 297.0, 18.0], shoonya_0sCD4H4JZU36PC, 5685438]
[paragraph, [409.0, 62.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 80.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 98.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 116.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 134.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 152.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 170.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 188.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 206.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 224.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 242.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 260.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 278.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 296.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 314.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [409.0, 332.0, 292.0, 18.0], shoonya_2s1NY5ACJN9D13, 5685438]
[paragraph, [406.0, 362.0, 294.0, 18.0], shoonya_3sTRECZ3C7LO90, 5685438]
[paragraph, [406.0, 380.0, 294.0, 18.0], shoonya_3sTRECZ3C7LO90, 5685438]
[paragraph, [406.0, 398.0, 294.0, 18.0], shoonya_3sTRECZ3C7LO90, 5685438]
[paragraph, [406.0, 416.0, 294.0, 18.0], shoonya_3sTRECZ3C7LO90, 5685438]
[paragraph, [406.0, 434.0, 294.0, 18.0], shoonya_3sTRECZ3C7LO90, 5685438]
[paragraph, [406.0, 452.0, 294.0, 18.0], shoonya_3sTRECZ3C7LO90, 5685438]
[paragraph, [97.0, 474.0, 294.0, 18.0], shoonya_1sUGCGRAS0VPRT, 5685438]
[paragraph, [432.0, 487.0, 266.0, 18.0], shoonya_4sIJ7Y3YOCPUG3, 5685438]
