[2339, 1654]
[paragraph, [305.0, 194.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 230.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 266.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 302.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 338.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 374.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 410.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 446.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 482.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 518.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 554.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 590.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 626.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 662.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 698.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [305.0, 734.0, 1163.0, 36.0], shoonya_0sOU27YWKNRC63, 5754210]
[paragraph, [307.0, 819.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 855.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 891.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 927.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 963.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 999.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 1035.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 1071.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 1107.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 1143.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [307.0, 1179.0, 1160.0, 36.0], shoonya_3sAN7LCRPATBBJ, 5754210]
[paragraph, [309.0, 1257.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1293.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1329.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1365.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1401.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1437.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1473.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1509.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1545.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1581.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1617.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [309.0, 1653.0, 1161.0, 36.0], shoonya_1sJINI0PVNNZW1, 5754210]
[paragraph, [301.0, 1708.0, 1166.0, 36.0], JxGzNgnj09, 5754210]
[paragraph, [301.0, 1744.0, 1166.0, 36.0], JxGzNgnj09, 5754210]
[paragraph, [301.0, 1780.0, 1166.0, 36.0], JxGzNgnj09, 5754210]
[paragraph, [301.0, 1816.0, 1166.0, 36.0], JxGzNgnj09, 5754210]
[reference, [310.0, 2022.0, 424.0, 36.0], shoonya_2sBSDVNHWSGGK1, 5754210]
