[2339, 1654]
[paragraph, [268.0, 185.0, 926.0, 36.0], eY0T6ruK_y, 5658825]
[paragraph, [268.0, 221.0, 926.0, 36.0], eY0T6ruK_y, 5658825]
[paragraph, [284.0, 283.0, 1200.0, 36.0], shoonya_0sNLRBQK8FXAUG, 5658825]
[paragraph, [284.0, 319.0, 1200.0, 36.0], shoonya_0sNLRBQK8FXAUG, 5658825]
[paragraph, [284.0, 355.0, 1200.0, 36.0], shoonya_0sNLRBQK8FXAUG, 5658825]
[paragraph, [284.0, 391.0, 1200.0, 36.0], shoonya_0sNLRBQK8FXAUG, 5658825]
[paragraph, [284.0, 427.0, 1200.0, 36.0], shoonya_0sNLRBQK8FXAUG, 5658825]
[paragraph, [267.0, 510.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[paragraph, [267.0, 546.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[paragraph, [267.0, 582.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[paragraph, [267.0, 618.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[paragraph, [267.0, 654.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[paragraph, [267.0, 690.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[paragraph, [267.0, 726.0, 1223.0, 36.0], shoonya_3sTKXYQANNWOLA, 5658825]
[section-title, [239.0, 875.0, 234.0, 52.5], shoonya_1s6OEYFZILAVKL, 5658825]
[sub-section-title, [289.0, 1008.0, 720.0, 55.5], YKNpflrpu9, 5658825]
[paragraph, [287.0, 1126.0, 503.0, 36.0], KrcIBnnLF7, 5658825]
[paragraph, [243.0, 1220.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1256.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1292.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1328.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1364.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1400.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1436.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [243.0, 1472.0, 875.0, 36.0], shoonya_10sW69SGRO27DB, 5658825]
[paragraph, [251.0, 1549.0, 1228.0, 36.0], shoonya_9s35WIODA4HAL5, 5658825]
[paragraph, [251.0, 1585.0, 1228.0, 36.0], shoonya_9s35WIODA4HAL5, 5658825]
[paragraph, [251.0, 1621.0, 1228.0, 36.0], shoonya_9s35WIODA4HAL5, 5658825]
[paragraph, [251.0, 1657.0, 1228.0, 36.0], shoonya_9s35WIODA4HAL5, 5658825]
[paragraph, [257.0, 1750.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 1786.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 1822.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 1858.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 1894.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 1930.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 1966.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 2002.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 2038.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 2074.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
[paragraph, [257.0, 2110.0, 1091.0, 36.0], shoonya_4sDZRWTZ67Z8T9, 5658825]
