[679, 512]
[paragraph, [51.0, 55.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [51.0, 73.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [51.0, 91.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [51.0, 109.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [51.0, 127.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [51.0, 145.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [51.0, 163.0, 416.0, 18.0], shoonya_0sDJS8TQSJPU31, 6496026]
[paragraph, [49.0, 205.0, 410.0, 18.0], z5UdKU60JH, 6496026]
[paragraph, [49.0, 223.0, 410.0, 18.0], z5UdKU60JH, 6496026]
[paragraph, [49.0, 252.0, 413.0, 18.0], MLFTNMFFXR, 6496026]
[paragraph, [49.0, 270.0, 413.0, 18.0], MLFTNMFFXR, 6496026]
[paragraph, [46.0, 302.0, 416.0, 18.0], D-_9BsND4O, 6496026]
[paragraph, [46.0, 320.0, 416.0, 18.0], D-_9BsND4O, 6496026]
[paragraph, [44.0, 368.0, 415.0, 18.0], 05GhDr95-2, 6496026]
[paragraph, [44.0, 386.0, 415.0, 18.0], 05GhDr95-2, 6496026]
[paragraph, [49.0, 441.0, 410.0, 18.0], j5QTVvx1hn, 6496026]
[paragraph, [49.0, 459.0, 410.0, 18.0], j5QTVvx1hn, 6496026]
[paragraph, [49.0, 477.0, 410.0, 18.0], j5QTVvx1hn, 6496026]
[paragraph, [46.0, 505.0, 408.0, 18.0], gjmyVMCljI, 6496026]
[paragraph, [46.0, 523.0, 408.0, 18.0], gjmyVMCljI, 6496026]
[paragraph, [46.0, 541.0, 408.0, 18.0], gjmyVMCljI, 6496026]
[paragraph, [46.0, 559.0, 408.0, 18.0], gjmyVMCljI, 6496026]
[paragraph, [46.0, 577.0, 408.0, 18.0], gjmyVMCljI, 6496026]
[folio, [153.0, 610.0, 169.0, 18.0], LoWpxLtxD9, 6496026]
