[1725, 1313]
[headline, [125.0, 149.0, 518.0, 37.5], z9ceys9j8U, 5772209]
[headline, [125.0, 186.5, 518.0, 37.5], z9ceys9j8U, 5772209]
[headline, [125.0, 224.0, 518.0, 37.5], z9ceys9j8U, 5772209]
[headline, [125.0, 261.5, 518.0, 37.5], z9ceys9j8U, 5772209]
[headline, [125.0, 299.0, 518.0, 37.5], z9ceys9j8U, 5772209]
[paragraph, [658.0, 149.0, 551.0, 36.0], rwY8fmjaT6, 5772209]
[paragraph, [658.0, 185.0, 551.0, 36.0], rwY8fmjaT6, 5772209]
[paragraph, [658.0, 221.0, 551.0, 36.0], rwY8fmjaT6, 5772209]
[paragraph, [658.0, 257.0, 551.0, 36.0], rwY8fmjaT6, 5772209]
[paragraph, [651.0, 314.0, 546.0, 36.0], I2sDyeQ11c, 5772209]
[paragraph, [651.0, 350.0, 546.0, 36.0], I2sDyeQ11c, 5772209]
[paragraph, [106.0, 344.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 380.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 416.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 452.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 488.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 524.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 560.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 596.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 632.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [106.0, 668.0, 547.0, 36.0], 9trY0IHl6C, 5772209]
[paragraph, [654.0, 452.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 488.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 524.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 560.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 596.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 632.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 668.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 704.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 740.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [654.0, 776.0, 541.0, 36.0], b6PYXlzNoX, 5772209]
[paragraph, [101.0, 737.0, 559.0, 36.0], dC-3ErwMFt, 5772209]
[paragraph, [101.0, 773.0, 559.0, 36.0], dC-3ErwMFt, 5772209]
[paragraph, [101.0, 809.0, 559.0, 36.0], dC-3ErwMFt, 5772209]
[paragraph, [101.0, 845.0, 559.0, 36.0], dC-3ErwMFt, 5772209]
[paragraph, [101.0, 881.0, 559.0, 36.0], dC-3ErwMFt, 5772209]
[paragraph, [722.0, 842.0, 416.0, 36.0], rLtf_vwOML, 5772209]
[paragraph, [722.0, 878.0, 416.0, 36.0], rLtf_vwOML, 5772209]
[paragraph, [722.0, 914.0, 416.0, 36.0], rLtf_vwOML, 5772209]
[paragraph, [722.0, 950.0, 416.0, 36.0], rLtf_vwOML, 5772209]
[paragraph, [105.0, 939.0, 559.0, 36.0], vCbChGRG77, 5772209]
[paragraph, [108.0, 1004.0, 352.0, 36.0], rlwqO0HDlo, 5772209]
[paragraph, [108.0, 1040.0, 352.0, 36.0], rlwqO0HDlo, 5772209]
[paragraph, [108.0, 1076.0, 352.0, 36.0], rlwqO0HDlo, 5772209]
[paragraph, [118.0, 1130.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1166.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1202.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1238.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1274.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1310.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1346.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1382.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1418.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1454.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1490.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[paragraph, [118.0, 1526.0, 345.0, 36.0], wiegGRYsNg, 5772209]
[folio, [575.0, 1570.0, 167.0, 36.0], yWWZkN8U6a, 5772209]
[folio, [69.0, 1669.0, 310.0, 36.0], ROGjBRGzE2, 5772209]
