[792, 612]
[folio, [260.0, 46.0, 74.0, 18.0], TwGbrEKRxd, 6492287]
[paragraph, [92.0, 90.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 108.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 126.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 144.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 162.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 180.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 198.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 216.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 234.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [92.0, 252.0, 414.0, 18.0], X2KI-Yesjg, 6492287]
[paragraph, [89.0, 277.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 295.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 313.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 331.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 349.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 367.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 385.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 403.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [89.0, 421.0, 416.0, 18.0], gfroGrVkGn, 6492287]
[paragraph, [84.0, 458.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 476.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 494.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 512.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 530.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 548.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 566.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 584.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 602.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [84.0, 620.0, 426.0, 18.0], zFGfPTzRYq, 6492287]
[paragraph, [76.0, 643.0, 427.0, 18.0], Pe33WvnDyY, 6492287]
[paragraph, [76.0, 661.0, 427.0, 18.0], Pe33WvnDyY, 6492287]
[paragraph, [76.0, 679.0, 427.0, 18.0], Pe33WvnDyY, 6492287]
[paragraph, [76.0, 697.0, 427.0, 18.0], Pe33WvnDyY, 6492287]
