[1650, 1275]
[paragraph, [224.0, 211.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [224.0, 247.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [224.0, 283.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [224.0, 319.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [224.0, 355.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [224.0, 391.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [224.0, 427.0, 869.0, 36.0], shoonya_1sCCLPG5KWD2MX, 5759249]
[paragraph, [223.0, 482.0, 868.0, 36.0], jYYH9QgG6h, 5759249]
[paragraph, [223.0, 518.0, 868.0, 36.0], jYYH9QgG6h, 5759249]
[paragraph, [223.0, 554.0, 868.0, 36.0], jYYH9QgG6h, 5759249]
[paragraph, [223.0, 590.0, 868.0, 36.0], jYYH9QgG6h, 5759249]
[paragraph, [223.0, 626.0, 868.0, 36.0], jYYH9QgG6h, 5759249]
[paragraph, [225.0, 677.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [225.0, 713.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [225.0, 749.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [225.0, 785.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [225.0, 821.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [225.0, 857.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [225.0, 893.0, 865.0, 36.0], shoonya_4sD6FBQ0FMC5AV, 5759249]
[paragraph, [226.0, 964.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
[paragraph, [226.0, 1000.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
[paragraph, [226.0, 1036.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
[paragraph, [226.0, 1072.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
[paragraph, [226.0, 1108.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
[paragraph, [226.0, 1144.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
[paragraph, [226.0, 1180.0, 866.0, 36.0], shoonya_3sP7PUA2RUT5AM, 5759249]
