[766, 567]
[paragraph, [33.0, 58.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 76.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 94.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 112.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 130.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 148.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 166.0, 169.0, 18.0], 1q-a7r-r7x, 5771522]
[paragraph, [33.0, 184.0, 169.0, 18.0], shoonya_1sLC9VBBQP7L2R, 5771522]
[paragraph, [33.0, 202.0, 169.0, 18.0], shoonya_1sLC9VBBQP7L2R, 5771522]
[paragraph, [33.0, 220.0, 169.0, 18.0], shoonya_1sLC9VBBQP7L2R, 5771522]
[paragraph, [33.0, 238.0, 169.0, 18.0], shoonya_1sLC9VBBQP7L2R, 5771522]
[paragraph, [33.0, 256.0, 169.0, 18.0], shoonya_1sLC9VBBQP7L2R, 5771522]
[section-title, [233.0, 211.0, 279.0, 30.0], shoonya_4sRYJHTL007F22, 5771522]
[paragraph, [228.0, 249.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [228.0, 267.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [228.0, 285.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [228.0, 303.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [228.0, 321.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [228.0, 339.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [228.0, 357.0, 294.0, 18.0], shoonya_6sPETY5YEBOGG1, 5771522]
[paragraph, [34.0, 282.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [34.0, 300.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [34.0, 318.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [34.0, 336.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [34.0, 354.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [34.0, 372.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [34.0, 390.0, 167.0, 18.0], GIlZqigIq7, 5771522]
[paragraph, [221.0, 374.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 392.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 410.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 428.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 446.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 464.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 482.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 500.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 518.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 536.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 554.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 572.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 590.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 608.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 626.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 644.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [221.0, 662.0, 303.0, 18.0], shoonya_5sEOBNTL81HOIB, 5771522]
[paragraph, [33.0, 412.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 430.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 448.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 466.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 484.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 502.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 520.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 538.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 556.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 574.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 592.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 610.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 628.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
[paragraph, [33.0, 646.0, 165.0, 18.0], shoonya_2sC1R3AITYFFLL, 5771522]
