[1606, 1056]
[folio, [454.0, 112.0, 157.0, 36.0], shoonya_1sRQTIAQLF1NYM, 5683474]
[paragraph, [271.0, 168.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 204.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 240.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 276.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 312.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 348.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 384.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 420.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 456.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 492.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 528.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 564.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 600.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 636.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 672.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 708.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 744.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 780.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 816.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 852.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 888.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 924.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 960.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 996.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1032.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1068.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1104.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1140.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1176.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1212.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1248.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1284.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1320.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1356.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1392.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1428.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
[paragraph, [271.0, 1464.0, 433.0, 36.0], -8iXlSr0XX, 5683474]
