[2338, 1654]
[paragraph, [185.0, 192.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 228.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 264.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 300.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 336.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 372.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 408.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 444.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 480.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 516.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 552.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 588.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 624.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 660.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 696.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 732.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 768.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 804.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 840.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 876.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [185.0, 912.0, 1286.0, 36.0], shoonya_0sAYOKE9DR7Q7E, 5754139]
[paragraph, [389.0, 984.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1020.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1056.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1092.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1128.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1164.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1200.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1236.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1272.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [389.0, 1308.0, 955.0, 36.0], gqWrlkf6vl, 5754139]
[paragraph, [188.0, 1377.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1413.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1449.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1485.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1521.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1557.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1593.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1629.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1665.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1701.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1737.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1773.0, 1266.0, 36.0], shoonya_2s39JDRGFK0J1S, 5754139]
[paragraph, [188.0, 1837.0, 1272.0, 36.0], shoonya_1s3CELQHYAWHHE, 5754139]
[paragraph, [188.0, 1873.0, 1272.0, 36.0], shoonya_1s3CELQHYAWHHE, 5754139]
[paragraph, [188.0, 1909.0, 1272.0, 36.0], shoonya_1s3CELQHYAWHHE, 5754139]
[paragraph, [188.0, 1945.0, 1272.0, 36.0], shoonya_1s3CELQHYAWHHE, 5754139]
[paragraph, [188.0, 1981.0, 1272.0, 36.0], shoonya_1s3CELQHYAWHHE, 5754139]
[paragraph, [188.0, 2017.0, 1272.0, 36.0], shoonya_1s3CELQHYAWHHE, 5754139]
