[1031, 622]
[section-title, [242.0, 68.0, 130.0, 30.0], anQzu-Rlka, 5709913]
[paragraph, [53.0, 113.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 131.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 149.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 167.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 185.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 203.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 221.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 239.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 257.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 275.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 293.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 311.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 329.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 347.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 365.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 383.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 401.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 419.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 437.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 455.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 473.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 491.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 509.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 527.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 545.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 563.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 581.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 599.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 617.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 635.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 653.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 671.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 689.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [53.0, 707.0, 522.0, 18.0], shoonya_0sYQ1NBD2HJR2H, 5709913]
[paragraph, [52.0, 739.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 757.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 775.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 793.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 811.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 829.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 847.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 865.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 883.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 901.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 919.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
[paragraph, [52.0, 937.0, 522.0, 18.0], shoonya_1sRIZ0AMDKC2HZ, 5709913]
