[1031, 622]
[section-title, [254.0, 67.0, 118.0, 30.0], 2hGG1uxu-a, 5710289]
[paragraph, [49.0, 115.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 133.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 151.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 169.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 187.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 205.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 223.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 241.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 259.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 277.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 295.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 313.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 331.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 349.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 367.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 385.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 403.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 421.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [49.0, 439.0, 552.0, 18.0], shoonya_1sWS6OU1G8LD3J, 5710289]
[paragraph, [53.0, 469.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 487.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 505.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 523.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 541.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 559.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 577.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 595.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 613.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 631.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 649.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 667.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 685.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 703.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 721.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 739.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 757.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 775.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[paragraph, [53.0, 793.0, 542.0, 18.0], Cx_2W9ZXRr, 5710289]
[footnote, [60.0, 830.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
[footnote, [60.0, 848.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
[footnote, [60.0, 866.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
[footnote, [60.0, 884.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
[footnote, [60.0, 902.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
[footnote, [60.0, 920.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
[footnote, [60.0, 938.0, 530.0, 18.0], jbh-NTfpg0, 5710289]
